"key","position","name"
"conf/aaai/AmbiteBKMOM02",4,"Jean Oh"
"conf/aaai/AmbiteBKMOM02",5,"Steven Minton"
"conf/aaai/AmbiteCFJMMUY06",0,"José Luis Ambite"
"conf/aaai/AmbiteCFJMMUY06",1,"Vinay K. Chaudhri"
"conf/aaai/AmbiteCFJMMUY06",2,"Richard Fikes"
"conf/aaai/AmbiteCFJMMUY06",3,"Jessica Jenkins"
"conf/aaai/AmbiteCFJMMUY06",4,"Sunil Mishra"
"conf/aaai/AmbiteCFJMMUY06",5,"Maria Muslea"
"conf/aaai/AmbiteCFJMMUY06",6,"Tomás E. Uribe"
"conf/aaai/AmbiteCFJMMUY06",7,"Guizhen Yang"
"conf/aaai/AmershiFKT11",0,"Saleema Amershi"
"conf/aaai/AmershiFKT11",1,"James Fogarty"
"conf/aaai/AmershiFKT11",2,"Ashish Kapoor"
"conf/aaai/AmershiFKT11",3,"Desney S. Tan"
"conf/aaai/AmgoudP06",0,"Leila Amgoud"
"conf/aaai/AmgoudP06",1,"Henri Prade"
"conf/aaai/AminCDKR15",0,"Kareem Amin"
